Title,Company_Name,Type,Colour ,orginal_price,dicounted_price,Discount,Rating,Location
JBL TUNE 110 In-Ear Earphone,JBL,In-Ear,White,1050,899,-14%,-186,Bangladesh
QKZ CK1 HD HiFi Earphone High Sensitivity fone de ouvido Special Edition Gold Plated Housing Double Drivers Noise Isolating,QKZ,Earphone,Red,600,332,-45%,-256,Free Shipping
KZ HD9 Earphones HiFi Sport Earbuds Copper Earhook ear Headphones In Ear Earphone For Running With Microphone game Headset,KZ,Wireless,Black,900,265,-71%,-424,Free Shipping
Lenovo HE05 Bluetooth Wireless Headphones,Lenovo,In-Ear,baby pink,1300,510,-61%,-2487,Free Shipping
Orignal Creative High Bass Audio Earphone with Pouch EP-530 - Black,Orignal,Earphoone,Active black,299,135,-55%,-144,Bangladesh
UiiSii HM12 Gaming Headset On-Ear Deep Bass Good Treble Earphone With Pouch,UiiSii,In-Ear,White,550,330,-40%,-627,Free Shipping
High Quality In-ear Earphone for Realme  In-ear Earphone with Good Bass Sound Quality for All Android Mobile Phone  High Bass Sound Quality Boom Bass Wired In-ear Headphones Compatible with Vivo / Oppo / Realme / Xiaomi / All Vivo Smartphones,High,Wireless,Red,210,100,-52%,-78,Bangladesh
Oppo in-ear Earphone Good Bass Sound Quality for All Android Mobile Phone High Bass Sound Quality Boom Bass Wired in-ear Headphones Compatible With All Oppo Smartphones,Oppo,Earphone,Black,180,99,-45%,-70,Bangladesh
Orignal Creative High Bass Audio Earphone with Pouch EP-530 - Black,Orignal,In-Ear,baby pink,300,110,-63%,-7,Bangladesh
"High Quality In-ear Earphone for MI, Vivo  In-ear Earphone with Good Bass Sound Quality for All Android Mobile Phone  High Bass Sound Quality Boom Bass Wired In-ear Headphones Compatible with Vivo / Oppo / Realme / Xiaomi / All Vivo Smartphones",High,In-Ear,Active black,210,110,-48%,-133,Bangladesh
"Samsung, Oppo in-ear Earphone Good Bass Sound Quality for All Android Mobile Phone High Bass Sound Quality Boom Bass Wired in-ear Headphones Compatible With All Samsung Smartphones","Samsung,",Earphone,White,180,98,-46%,-223,Bangladesh
"SAMSUNG IG935 Hi-Fi Sound Wired Music Earphone with Mic, Universal Earphone",SAMSUNG,Wireless,Red,250,95,-62%,-33,Bangladesh
"High Quality EO IG955 Headset In-ear 3.5mm with Mic Wired Metal Body with Case | In-ear Earphone Good Bass Sound Quality for All Android Mobile Phone | High Bass Sound Quality Boom Bass Wired in-ear Headphones Compatible With Oppo, Samsung, Vivo, Realme S",High,In-Ear,Black,180,92,-49%,-10,Bangladesh
SEAW Super bus headphones ear hook WITH MIC,SEAW,Earphoone,baby pink,220,124,-44%,-3,Bangladesh
"Samsung,Oppo in-ear Earphone Good Bass Sound Quality for All Android Mobile Phone High Bass Sound Quality Boom Bass Wired in-ear Headphones Compatible With All Samsung Smartphones","Samsung,Oppo",In-Ear,Active black,150,110,-27%,-3,Bangladesh
For in-ear Earphone Good Bass Sound Quality for All Android Mobile Phone High Bass Sound Quality Boom Bass Wired in-ear Headphones Compatible With All Samsung Smartphones,For,Wireless,White,249,109,-56%,-56,Free Shipping
"Samsung, Oppo in-ear Earphone Good Bass Sound Quality for All Android Mobile Phone High Bass Sound Quality Boom Bass Wired in-ear Headphones Compatible With All Samsung Smartphones","Samsung,",Earphone,Red,170,99,-42%,-178,Bangladesh
Tuddrom F1 Earphone Best for Gaming 3.5mm Port Headphone with Microphone,Tuddrom,In-Ear,Black,550,158,-71%,-2,Free Shipping
Vivo In Ear Earphone Best Sound quality with free one - White,Vivo,In-Ear,baby pink,210,99,-53%,-2,Free Shipping
Bay 1 Get 1 free best In-Earphone,Bay,Earphone,Active black,199,62,-69%,-10,Bangladesh
Uiisii C100 in-ear with microphone subwoofer portable earphone game music sports headphones,Uiisii,Wireless,White,300,165,-45%,-308,Free Shipping
Samsung in-ear Earphone Good Bass Sound Quality for All Android Mobile Phone High Bass Sound Quality Boom Bass Wired in-ear Headphones Compatible With All Samsung Smartphones,Samsung,In-Ear,Red,130,60,-54%,-46,Bangladesh
High Quality In-ear Earphone for MI  In-ear Earphone with Good Bass Sound Quality for All Android Mobile Phone  High Bass Sound Quality Boom Bass Wired In-ear Headphones Compatible with  Xiaomi Vivo / Oppo / Realme / Vivo / All Vivo Smartphones,High,Earphoone,Black,110,60,-45%,-18,Bangladesh
Creative High Bass Audio Earphone with Pouch EP-530 - Black,Creative,In-Ear,baby pink,299,120,-60%,-84,Bangladesh
UiiSii HM12 Half in-Ear Headset Metal Bass Music Earphone Wired Headphones with Mic,UiiSii,Wireless,Active black,450,325,-28%,-6,Bangladesh
Uiisii C100i Wired Headphones,Uiisii,Earphone,White,198,87,-56%,-12,Free Shipping
P47 Headband Bluetooth Wireless Headphones,P47,In-Ear,Red,,265,,-92,Bangladesh
Vivo In Ear Earphone Best Sound quality with free one - White,Vivo,In-Ear,Black,290,111,-62%,-15,Bangladesh
Vivo In Ear Earphone Best Sound quality with free one - White,Vivo,Earphone,baby pink,210,99,-53%,-17,Bangladesh
UiiSii HM12 Half in-Ear Headset Metal Bass Music Earphone Wired Headphones with Mic and Pouch Bag,UiiSii,Wireless,Active black,550,320,-42%,-28,Bangladesh
Vivo in-ear Earphone Good Bass Sound Quality for All Android Mobile Phone  High Bass Sound Quality  Boom Bass Wired in-ear Headphones Compatible With All Vivo Smartphones,Vivo,In-Ear,White,95,55,-42%,-24,Bangladesh
Ui'iSii HM'12 Gaming Headset On-Ear Deep Bass Good Treble Earphone,Ui'iSii,Earphoone,Red,610,299,-51%,-96,Bangladesh
KZ HD9 Earphones HiFi Sport Earbuds Copper Earhook ear Headphones In Ear Earphone For Running With Microphone game Headset,KZ,In-Ear,Black,400,350,-13%,-304,Bangladesh
P47 - Wireless Bluetooth Headphone - White,P47,Wireless,baby pink,599,289,-52%,-15,Bangladesh
Oppo In Ear Earphone Best Bass Sound Quality For All Android with one free - White,Oppo,Earphone,Active black,230,107,-53%,-13,Bangladesh
Lenovo HE05 Bluetooth Wireless Headphones,Lenovo,In-Ear,White,645,345,-47%,-9,Bangladesh
PLEXTONE Mowi RX3 Dual Microphone 3.5mm Wired Gaming Headphones,PLEXTONE,In-Ear,Red,1250,510,-59%,-80,Free Shipping
Lenovo HE05X Sports Neckband Bluetooth Earphones,Lenovo,Earphone,Black,1000,339,-66%,-13,Bangladesh
For in-ear Earphone Good Bass Sound Quality for All Android Mobile Phone High Bass Sound Quality Boom Bass Wired in-ear Headphones Compatible With All Samsung Smartphones,For,Wireless,baby pink,300,99,-67%,-3,Free Shipping
UGREEN Aux Earbuds Earphones 3.5mm Handsfree Wired Headphones Volume Control Noise Isolating Stereo Sound with Microphone For Android MP3 MP4 Pad,UGREEN,In-Ear,Active black,1899,989,-48%,-207,Free Shipping
Orignal Creative High Bass Audio Earphone with Pouch EP-530 - Black,Orignal,Earphoone,White,550,98,-82%,-1,Bangladesh
Vivo/Oppo/MI In Ear Earphone Good Bass Sound Quality For All Android - White Color,Vivo/Oppo/MI,In-Ear,Red,200,115,-43%,-467,Bangladesh
Premium Quality CREATIVE High Bass Audio Earphone EP-530 Earphone with Mic,Premium,Wireless,Black,500,130,-74%,-31,Bangladesh
UiiSii UX Wired Eraphones with Mic,UiiSii,Earphone,baby pink,400,210,-48%,-2,Bangladesh
SONY XB450AP Extra Bass Headphones - BLACK,SONY,In-Ear,Active black,499,215,-57%,-26,Bangladesh
KZ HD9 Earphones HiFi Sport Earbuds Copper Earhook ear Headphones In Ear Earphone For Running With Microphone game Headset,KZ,In-Ear,White,500,276,-45%,-40,Bangladesh
Vivo In Ear Earphone Best Sound quality - White,Vivo,Earphone,Red,150,69,-54%,,Bangladesh
"Lnovo He05 Bluetooth 5.0 Neckband Earphone Wireless Stereo Sports Magnetic Mega Bass Stereo Neckband Earbuds with Microphone Noise Isolating Supreme Sound, 8-Hour Rechargeable Battery, Lightweight Headphones Sports Running Ipx5 Waterproof Headset",Lnovo,Wireless,Black,750,350,-53%,-86,Bangladesh
KZ HD9 Earphone HiFi Sport Earbuds Copper Earhook Ear Type in Ear Headphones,KZ,In-Ear,baby pink,1000,273,-73%,-54,Bangladesh
Vivo in-ear Earphone Good Bass Sound Quality for All Android Mobile Phone High Bass Sound Quality Boom Bass Wired in-ear Headphones Compatible With All Vivo Smartphones,Vivo,Earphoone,Active black,200,118,-41%,-32,Bangladesh
In-Ear 3.5mm Wired Control Earphone  Headphone Strong Bass Earphones For all mobile Free Your Music Bullers Earphone V2 Wired Earphone,In-Ear,In-Ear,White,120,40,-67%,-14,Bangladesh
KZ HD9 Earphones HiFi Sport Earbuds Copper Earhook ear Headphones In Ear Earphone For Running With Microphone game Headset,KZ,Wireless,Red,400,310,-23%,-92,Bangladesh
KZ HD9 Earphones HiFi Sport Earbuds Copper Earhook ear Headphones In Ear Earphone For Running With Microphone game Headset,KZ,Earphone,Black,800,277,-65%,-36,Free Shipping
Oppo in-ear Earphone Good Bass Sound Quality for All Android Mobile Phone High Bass Sound Quality Boom Bass Wired in-ear Headphones Compatible With All Oppo Smartphones,Oppo,In-Ear,baby pink,110,60,-45%,-15,Bangladesh
for Vivo In-Ear Earphone Good Bass Sound for All android Mobile Boom Bass Wired In-Ear Headphones Compatible With All Vivo Smartphones,for,In-Ear,Active black,160,59,-63%,-459,Free Shipping
Vivo/Realme/Mi/Oppo/Samsung In Ear Earphone Best Sound quality for any Android - (White),Vivo/Realme/Mi/Oppo/Samsung,Earphone,White,200,97,-52%,-9,Bangladesh
Vivo in-ear Earphone Good Bass Sound Quality for All Android Mobile Phone  High Bass Sound Quality  Boom Bass Wired in-ear Headphones Compatible With All Vivo Smartphones,Vivo,Wireless,Red,150,100,-33%,-28,Bangladesh
Lenovo HE05 Bluetooth Headphones Wireless Headsets Sport,Lenovo,In-Ear,Black,533,329,-38%,-7,Free Shipping
Vivo SK-1V Music Earphone Voice Call Headset  Vivo in-ear Earphone Good Bass Sound Quality for All Android Mobile Phone  High Bass Sound Quality  Boom Bass Wired in-ear Headphones Compatible With All Vivo Smartphones,Vivo,Earphoone,baby pink,199,99,-50%,-38,Bangladesh
High Quality In-ear Earphone for Vivo  In-ear Earphone with Good Bass Sound Quality for All Android Mobile Phone  High Bass Sound Quality Boom Bass Wired In-ear Headphones Compatible with Vivo / Oppo / Realme / Xiaomi / All Vivo Smartphones,High,In-Ear,Active black,120,63,-48%,-34,Bangladesh
UiiSii C100 Wired Headset Universal Mobie Phone Dedicated Music Earbuds Earphones Oreillette,UiiSii,Wireless,White,220,190,-14%,-14,Bangladesh
Overfly Bluetooth Headphones Metal Magnetic Sports Headsets Stereo Music Earbuds Wireless Bluetooth Earphones for Mobile Phone,Overfly,Earphone,Red,450,111,-75%,-9,Bangladesh
UiiSii C100 Earphone in-ear headphones for games and music,UiiSii,In-Ear,Black,220,152,-31%,-65,Free Shipping
Creative High Bass Audio Earphone with Pouch EP-530 - Black,Creative,In-Ear,baby pink,275,120,-56%,-3,Bangladesh
Vivo/Realme/Samsung/Oppo In Ear Earphone Best Sound quality for any Android - (White),Vivo/Realme/Samsung/Oppo,Earphone,Active black,220,91,-59%,-19,Bangladesh
Xiaomi Mi Dual Driver In-Ear Earphones - Blue,Xiaomi,Wireless,White,850,845,-1%,-140,Bangladesh
In Ear Earphone Best Bass Sound Quality For All Android - White Color,In,In-Ear,Red,250,99,-60%,-6,Bangladesh
Vivo In Ear Earphone Best Sound quality - White,Vivo,Earphoone,Black,120,65,-46%,-1,Bangladesh
Orignal Creative High Bass Audio Earphone with Pouch EP-530 - Black,Orignal,In-Ear,baby pink,550,149,-73%,-115,Bangladesh
Vivo In Ear Earphone Best Sound quality - White,Vivo,Wireless,Active black,99,65,-34%,-7,Bangladesh
Buds 2 Magnet In-Ear Headphones,Buds,Earphone,White,199,64,-68%,-542,Bangladesh
buy 1 get 1 Vivo In Ear Earphone Best Sound quality with free one - White,buy,In-Ear,Red,210,104,-50%,-11,Bangladesh
UiiSii U1 Sport 3.5mm In-Ear Wired Earphones With Microphone,UiiSii,In-Ear,Black,550,239,-57%,-20,Bangladesh
Samsung in-ear Earphone Good Bass Sound Quality for All Android Mobile Phone High Bass Sound Quality Boom Bass Wired in-ear Headphones Compatible With All Samsung Smartphones,Samsung,Earphone,baby pink,130,62,-52%,-10,Bangladesh
Vivo Wired in-Ear Headphones Compatible with Especially All Smartphones (White),Vivo,Wireless,Active black,160,75,-53%,-3,Bangladesh
PLEXTONE G30 TYPE C  Game Live Upgraded Dual Mode DSP Earphones Gaming Headset Headphone with HD Microphone 6 Gaming Effects,PLEXTONE,In-Ear,White,1500,1250,-17%,-76,Free Shipping
Lenovo HE05 Bluetooth Wireless Headphones,Lenovo,Earphoone,Red,800,345,-57%,-8,Bangladesh
REMAX RM 510 In-Ear Earphone With Metal box,REMAX,In-Ear,Black,,550,,-171,Free Shipping
PTM T2 In-Ear Earphones Mega Bass Music Headset Earbuds Sport headphone,PTM,Wireless,baby pink,250,120,-52%,-48,Bangladesh
Oppo In Ear Earphone Best Bass Sound Quality For All Android - White Color,Oppo,Earphone,Active black,250,79,-68%,-6,Bangladesh
PLEXTONE G25 In-ear Gaming Headset Magnetic Stereo Wired Earbuds Earphones with Microphone for Computer Phone Sport,PLEXTONE,In-Ear,White,1650,810,-51%,-8,Free Shipping
For in-ear Earphone Good Bass Sound Quality for All Android Mobile Phone High Bass Sound Quality Boom Bass Wired in-ear Headphones Compatible With All Samsung Smartphones,For,In-Ear,Red,299,99,-67%,-5,Free Shipping
Plextone G15 Game Earphone 3.5mm Bass Hammerhead Gaming Earbuds Stereo Wired Magnetic Headset With Microphone in Ear for Phone PC MP3,Plextone,Earphone,Black,1100,659,-40%,-4,Free Shipping
Vivo In Ear Earphone Best Sound quality with free one - White,Vivo,Wireless,baby pink,270,108,-60%,-7,Bangladesh
High Quality In-ear Earphone for Realme In ear Earphone with Good Bass Sound Quality for All Android Mobile Phone High Bass Sound Quality Boom Bass Wired In-ear Headphones Compatible with Vivo / Oppo / Realme / Xiaomi / All Vivo Smartphones,High,In-Ear,Active black,320,75,-77%,,Bangladesh
Remax RM-202 Mega Bass Super Heavy Bass Headphones.,Remax,Earphoone,White,650,262,-60%,,Free Shipping
Wiresto Wired Gaming Earphones In Ear Headphones Earbuds Headset Noise Cancelling Stereo with Mic for Mobile Phone PS4 New Xbox One Free Case,Wiresto,In-Ear,Red,793,509,-36%,-190,Free Shipping
KBEAR KS1 Super Bass Booster in Ear Earphone,KBEAR,Wireless,Black,1890,1090,-42%,-2,Free Shipping
CREATIVE EP-530 Earphone with Mic Super Quality,CREATIVE,Earphone,baby pink,250,140,-44%,-8,Bangladesh
Kin K-28 perfect sound high quality super bass Headphones With Mic,Kin,In-Ear,Active black,220,65,-70%,-4,Bangladesh
Orignal Creative High Bass Audio Earphone with Pouch EP-530 - Black,Orignal,In-Ear,White,550,135,-75%,-55,Bangladesh
Remax RM-512 WIRED MUSIC HEADSET Earphone in-ear Earphone Good Bass Sound Quality for All Android Mobile Phone High Bass Sound Quality Boom Bass Wired in-ear Headphones Compatible With All Smartphones,Remax,Earphone,Red,299,169,-43%,-6,Free Shipping
Creative High Bass Audio Earphone with Pouch EP-530-Black,Creative,Wireless,Black,199,135,-32%,-5,Free Shipping
P47 Headband Foldable Stereo Bluetooth Headphones - Red,P47,In-Ear,baby pink,800,288,-64%,-117,Bangladesh
Realme Ruds 2 In-Earphone Headset Handsfree 3.5Mm Jack With Mic,Realme,Earphoone,Active black,88,48,-45%,-2,Bangladesh
Lenovo HE05 Bluetooth Headphones Wireless Headsets Sport Neckband,Lenovo,In-Ear,White,790,530,-33%,-208,Bangladesh
MI In Ear Earphone for any Android and  Good Sound quality - White,MI,Wireless,Red,280,168,-40%,-14,Free Shipping
Oppo in-ear Earphone Good Bass Sound Quality for All Android Mobile Phone High Bass Sound Quality Boom Bass Wired in-ear Headphones Compatible With All Oppo Smartphones,Oppo,Earphone,Black,120,61,-49%,-26,Bangladesh
High Quality In-ear Earphone for Realme In-ear Earphone with Good Bass Sound Quality for All Android Mobile Phone  High Bass Sound Quality Boom Bass Wired In-ear Headphones Compatible with Vivo / Oppo / Realme / Xiaomi / All Vivo Smartphones,High,In-Ear,baby pink,110,65,-41%,-7,Bangladesh
Oppo In Ear Earphone Best Bass Sound Quality For All Android - White,Oppo,In-Ear,Active black,215,119,-45%,-4,Bangladesh
QKZ DM7 Zinc Alloy HiFi Earphone In Ear Headphone Bass Subwoofer Metal Wired Earphone Magnetic Suction Line Control with Mic Sports Headset Phone Laptop Gaming Earphone Earbuds,QKZ,Earphone,White,600,335,-44%,-22,Bangladesh
MDR-XB450 Over The Ear Extra Bass Headphone - Blue,MDR-XB450,Wireless,Red,600,262,-56%,-59,Bangladesh
Lenovo HE05x Sports Magnetic Wireless Earphones - Black,Lenovo,In-Ear,Black,,620,,-95,Bangladesh
Vivo/Oppo/MI In Ear Earphone Good Bass Sound Quality For All Android - White Color,Vivo/Oppo/MI,Earphoone,baby pink,250,94,-62%,-12,Bangladesh
Remax RM-510 pink wired earphones with concave design,Remax,In-Ear,Active black,550,290,-47%,-6,Free Shipping
Super Bass earphone EO-IG955 real Balanced sound volume control buttons comfortable design with AK_Pouch-1pcs,Super,Wireless,White,220,120,-45%,-3,Free Shipping
Lenovo HE05X Sports Neckband Bluetooth Earphones,Lenovo,Earphone,Red,870,480,-45%,-5,Bangladesh
Oppo In Ear Earphone Best Bass Sound Quality For good music - White,Oppo,In-Ear,Black,99,66,-33%,-2,Free Shipping
HiFi Sound 3.5MM In-Ear Earphones Wired Headphones Metal Bass Earphone With Microphone High Bass Stereo Headset Sport Gaming Headsets For Xiaomi Huawei Samsung |phone.,HiFi,In-Ear,baby pink,690,178,-74%,-12,Bangladesh
100h Earphone Bluetooth 5.0 Wireless Headphones Magnetic Neckband Headsets Sports Waterproof Headphon 9D Noise Canceling Earbuds,100h,Earphone,Active black,1494,716,-52%,-1,China
(BSHOP BD ) G2000/X120 Professional Gaming Earphones,(BSHOP,Wireless,White,500,299,-40%,-18,Bangladesh
Creative High Bass Audio Earphone with Pouch EP-530 - Black,Creative,In-Ear,Red,275,120,-56%,,Bangladesh
Vivo Headphones for all mobile supported,Vivo,Earphoone,Black,270,98,-64%,,Bangladesh
Vivo SK-1V Music Earphone Voice Call Headset   Vivo in-ear Earphone Good Bass Sound Quality for All Android Mobile Phone  High Bass Sound Quality  Boom Bass Wired in-ear Headphones Compatible With All Vivo Smartphones,Vivo,In-Ear,baby pink,180,100,-44%,-29,Bangladesh
Wiresto QKZ AK2 In-ear Headphones Diamond Wired Metal Heavy Bass Noise Canceling Headests 3.5mm Sports HiFi Sound with Mic Earphone,Wiresto,Wireless,Active black,508,319,-37%,-62,Free Shipping
MI In Ear Earphone Exclusive Sound quality for any Android - White,MI,Earphone,White,280,164,-41%,-14,Free Shipping
Wiresto In-Ear Headphones Earphone Wired Earbuds Sport In Ear Headphone Stereo Headset3.5mm Jack Wired Cable Music Headphone HIFI Sound Quality No Ear Pain Earphone Headphone with HD Microphone,Wiresto,In-Ear,Red,283,189,-33%,-134,Free Shipping
